model,split,book_filter,gold,gold_fit_freq,category,why,context,top1,top2,top3,top4,top5,top5_joined
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,ספר,32,same_length_semantic,Model prefers a plausible same-length alternative.,ל שים ל ⬚⬚⬚ סרך ה יחד ל דרוש,כול,אל,כל,לב,את,כול | אל | כל | לב | את
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,נפש,46,same_length_semantic,Model prefers a plausible same-length alternative.,כול לב ו ב כול ⬚⬚⬚ ל עשות ה טוב ו,כול,לב,איש,אשר,כל,כול | לב | איש | אשר | כל
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,קרי,4,same_length_semantic,Model prefers a plausible same-length alternative.,אנו ו מ ל ב ⬚⬚⬚ ב חוקי אמת ו צדיק,אל,כול,אמת,כל,על,אל | כול | אמת | כל | על
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,חוקי,14,particle_or_too_short,Top guess is much shorter than the gold word.,מ ל ב קרי ב ⬚⬚⬚ אמת ו צדיק אל אשר,אל,תורת,משפטי,אשר,דברי,אל | תורת | משפטי | אשר | דברי
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,אל,1175,same_length_semantic,Model prefers a plausible same-length alternative.,ב חוקי אמת ו צדיק ⬚⬚⬚ אשר עשה ו ב ו,כול,כל,יי,יהוה,את,כול | כל | יי | יהוה | את
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,ברית,76,same_length_semantic,Model prefers a plausible same-length alternative.,ה מואס ל בוא ב ⬚⬚⬚ אל ל לכת ב שרירות,רוח,דעת,אל,רצון,תורת,רוח | דעת | אל | רצון | תורת
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,יעבור,6,particle_or_too_short,Top guess is much shorter than the gold word.,ל לכת ב שרירות לוא ⬚⬚⬚ ב יחד כיא געלה ב,בא,שלם,תשב,נכון,רע,בא | שלם | תשב | נכון | רע
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,רע,43,same_length_semantic,Model prefers a plausible same-length alternative.,איש ל דעת טוב ו ⬚⬚⬚ ל הפיל גורלות ל כול,כול,כל,אל,איש,אשר,כול | כל | אל | איש | אשר
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,מועד,50,other,No simple short/rare/same-length explanation.,חי ל פי ב יום ⬚⬚⬚ ה פקודה ו זה ה,יום,כול,אל,על,ים,יום | כול | אל | על | ים
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,קשה,6,same_length_semantic,Model prefers a plausible same-length alternative.,ב תלונה או ב עורפ ⬚⬚⬚ או ב קנאת רוח רשע,רוח,ריב,איש,לב,אל,רוח | ריב | איש | לב | אל
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,מובדל,2,particle_or_too_short,Top guess is much shorter than the gold word.,ו נענש שנה אחת ו ⬚⬚⬚ ו אשר יזכיר דבר ב,על,כול,כל,אשר,איש,על | כול | כל | אשר | איש
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,ערב,53,same_length_semantic,Model prefers a plausible same-length alternative.,יתערב ב או ב אשר ⬚⬚⬚ עם הון ה רבים ו,יתערב,יהיה,ילך,יבוא,יהיו,יתערב | יהיה | ילך | יבוא | יהיו
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,הון,41,same_length_semantic,Model prefers a plausible same-length alternative.,או ב אשר ערב עם ⬚⬚⬚ ה רבים ו היה ל,אנשי,בני,איש,אנשים,כול,אנשי | בני | איש | אנשים | כול
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,פי,67,same_length_semantic,Model prefers a plausible same-length alternative.,מדרש ו ב עצה על ⬚⬚⬚ ה רבים אם לוא שגג,ימים,כול,שנים,כל,שגגה,ימים | כול | שנים | כל | שגגה
ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,תרומת,5,particle_or_too_short,Top guess is much shorter than the gold word.,ב כול אשר יהיה יספר ⬚⬚⬚ שפתים עם קצים אשהר חקק,דבר,על,עם,בדבר,מתק,דבר | על | עם | בדבר | מתק
