row_id,model,split,book_filter,scroll,gap_length,gap_bucket,target_phrase,target_words,target_fit_frequencies,top1_phrase,top5_phrases,context_for_reading,raw_context,case_status,reader_note,slot_top1_hits,slot_top5_hits,slot_details_json
1,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QS,2,2,כול לב,"[""כול"", ""לב""]","[1096, 59]",כול איש,"[""כול איש"", ""כל איש"", ""איש את"", ""כל נפש"", ""יהוה על""]",שים ספר סרך יחד דרוש אל ⬚⬚⬚ ⬚⬚⬚ כול נפש עשות טוב ישר אשר צוה יד מושה יד כול נביאים אהוב כול אשר בחר שנוא את כול אשר מאס,שים ספר סרך יחד דרוש אל ⬚⬚⬚ ⬚⬚⬚ כול נפש עשות טוב ישר אשר צוה יד מושה יד כול נביאים אהוב כול אשר בחר שנוא את כול אשר מאס,miss,1/2 gap words appear in the top-5 lists.,1,1,"[{""slot_index"": 1, ""gold_word"": ""כול"", ""gold_fit_frequency"": 1096, ""top_candidates"": [""כול"", ""כל"", ""איש"", ""יהוה""], ""top1"": ""כול"", ""hit_top1"": true, ""hit_top5"": true, ""likely_issue"": ""exact_top1_hit"", ""reader_note"": ""The model's first guess is exactly correct for this slot.""}, {""slot_index"": 2, ""gold_word"": ""לב"", ""gold_fit_frequency"": 59, ""top_candidates"": [""איש"", ""את"", ""נפש"", ""על""], ""top1"": ""איש"", ""hit_top1"": false, ""hit_top5"": false, ""likely_issue"": ""same_length_semantic"", ""reader_note"": ""Model prefers another plausible word of similar length.""}]"
2,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QS,2,2,כול נפש,"[""כול"", ""נפש""]","[1096, 46]",כול איש,"[""כול איש"", ""איש איש"", ""כול מבקשי"", ""כל איש"", ""כול ישראל""]",שים ספר סרך יחד דרוש אל כול לב ⬚⬚⬚ ⬚⬚⬚ עשות טוב ישר אשר צוה יד מושה יד כול נביאים אהוב כול אשר בחר שנוא את כול אשר מאס רחוק כול,שים ספר סרך יחד דרוש אל כול לב ⬚⬚⬚ ⬚⬚⬚ עשות טוב ישר אשר צוה יד מושה יד כול נביאים אהוב כול אשר בחר שנוא את כול אשר מאס רחוק כול,miss,1/2 gap words appear in the top-5 lists.,1,1,"[{""slot_index"": 1, ""gold_word"": ""כול"", ""gold_fit_frequency"": 1096, ""top_candidates"": [""כול"", ""איש"", ""כל""], ""top1"": ""כול"", ""hit_top1"": true, ""hit_top5"": true, ""likely_issue"": ""exact_top1_hit"", ""reader_note"": ""The model's first guess is exactly correct for this slot.""}, {""slot_index"": 2, ""gold_word"": ""נפש"", ""gold_fit_frequency"": 46, ""top_candidates"": [""איש"", ""מבקשי"", ""ישראל""], ""top1"": ""איש"", ""hit_top1"": false, ""hit_top5"": false, ""likely_issue"": ""same_length_semantic"", ""reader_note"": ""Model prefers another plausible word of similar length.""}]"
3,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QS,2,2,קרי חוקי,"[""קרי"", ""חוקי""]","[4, 14]",אומרים ברוך,"[""אומרים ברוך"", ""מודים אל"", ""מודים לך"", ""מודים לאל"", ""מודים ברוך""]",לויים מספרים את עוונות בני ישראל כול פשעי ממשלת בליעל כול עוברים ברית מודים אמור נעוינו פשענו חטאנו הרשענו אנו ⬚⬚⬚ ⬚⬚⬚ אמת צדיק אל אשר עשה רחמי גמל עולם עד עולם כוהנים מברכים את כול אנשי גורל אל הולכים תמים כול אומרים,לויים מספרים את עוונות בני ישראל כול פשעי ממשלת בליעל כול עוברים ברית מודים אמור נעוינו פשענו חטאנו הרשענו אנו ⬚⬚⬚ ⬚⬚⬚ אמת צדיק אל אשר עשה רחמי גמל עולם עד עולם כוהנים מברכים את כול אנשי גורל אל הולכים תמים כול אומרים,miss,None of the gap words appear in the top-5 lists.,0,0,"[{""slot_index"": 1, ""gold_word"": ""קרי"", ""gold_fit_frequency"": 4, ""top_candidates"": [""אומרים"", ""מודים""], ""top1"": ""אומרים"", ""hit_top1"": false, ""hit_top5"": false, ""likely_issue"": ""other_miss"", ""reader_note"": ""Miss without a simple short/rare/same-length explanation.""}, {""slot_index"": 2, ""gold_word"": ""חוקי"", ""gold_fit_frequency"": 14, ""top_candidates"": [""ברוך"", ""אל"", ""לך"", ""לאל""], ""top1"": ""ברוך"", ""hit_top1"": false, ""hit_top5"": false, ""likely_issue"": ""same_length_semantic"", ""reader_note"": ""Model prefers another plausible word of similar length.""}]"
4,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QS,3,3,אל אשר עשה,"[""אל"", ""אשר"", ""עשה""]","[1175, 1396, 68]",אתה יהוה כול,"[""אתה יהוה כול"", ""אתה יהוה לכול"", ""הוא יהוה כול"", ""אתה כול כול"", ""אתה יהוה אלוהי""]",בני ישראל כול פשעי ממשלת בליעל כול עוברים ברית מודים אמור נעוינו פשענו חטאנו הרשענו אנו קרי חוקי אמת צדיק ⬚⬚⬚ ⬚⬚⬚ ⬚⬚⬚ רחמי גמל עולם עד עולם כוהנים מברכים את כול אנשי גורל אל הולכים תמים כול אומרים כול טוב,בני ישראל כול פשעי ממשלת בליעל כול עוברים ברית מודים אמור נעוינו פשענו חטאנו הרשענו אנו קרי חוקי אמת צדיק ⬚⬚⬚ ⬚⬚⬚ ⬚⬚⬚ רחמי גמל עולם עד עולם כוהנים מברכים את כול אנשי גורל אל הולכים תמים כול אומרים כול טוב,miss,None of the gap words appear in the top-5 lists.,0,0,"[{""slot_index"": 1, ""gold_word"": ""אל"", ""gold_fit_frequency"": 1175, ""top_candidates"": [""אתה"", ""הוא""], ""top1"": ""אתה"", ""hit_top1"": false, ""hit_top5"": false, ""likely_issue"": ""other_miss"", ""reader_note"": ""Miss without a simple short/rare/same-length explanation.""}, {""slot_index"": 2, ""gold_word"": ""אשר"", ""gold_fit_frequency"": 1396, ""top_candidates"": [""יהוה"", ""כול""], ""top1"": ""יהוה"", ""hit_top1"": false, ""hit_top5"": false, ""likely_issue"": ""same_length_semantic"", ""reader_note"": ""Model prefers another plausible word of similar length.""}, {""slot_index"": 3, ""gold_word"": ""עשה"", ""gold_fit_frequency"": 68, ""top_candidates"": [""כול"", ""לכול"", ""אלוהי""], ""top1"": ""כול"", ""hit_top1"": false, ""hit_top5"": false, ""likely_issue"": ""same_length_semantic"", ""reader_note"": ""Model prefers another plausible word of similar length.""}]"
5,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QS,2,2,קשה או,"[""קשה"", ""או""]","[6, 236]",או איש,"[""או איש"", ""כי אם"", ""או רוח"", ""או קנאת"", ""או דבר""]",העלות איש פי תום הוכיח איש את אמת ענוה אהבת חסד איש אל ידבר אפ או תלונה או עורפ ⬚⬚⬚ ⬚⬚⬚ קנאת רוח רשע אל עורלת כיא לוא ישא עוון גם אל יביא איש על דבר פני רבים אשר לוא תוכחת פני עדים,העלות איש פי תום הוכיח איש את אמת ענוה אהבת חסד איש אל ידבר אפ או תלונה או עורפ ⬚⬚⬚ ⬚⬚⬚ קנאת רוח רשע אל עורלת כיא לוא ישא עוון גם אל יביא איש על דבר פני רבים אשר לוא תוכחת פני עדים,miss,None of the gap words appear in the top-5 lists.,0,0,"[{""slot_index"": 1, ""gold_word"": ""קשה"", ""gold_fit_frequency"": 6, ""top_candidates"": [""או"", ""כי""], ""top1"": ""או"", ""hit_top1"": false, ""hit_top5"": false, ""likely_issue"": ""other_miss"", ""reader_note"": ""Miss without a simple short/rare/same-length explanation.""}, {""slot_index"": 2, ""gold_word"": ""או"", ""gold_fit_frequency"": 236, ""top_candidates"": [""איש"", ""אם"", ""רוח"", ""קנאת"", ""דבר""], ""top1"": ""איש"", ""hit_top1"": false, ""hit_top5"": false, ""likely_issue"": ""same_length_semantic"", ""reader_note"": ""Model prefers another plausible word of similar length.""}]"
6,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QS,3,3,ערב עם הון,"[""ערב"", ""עם"", ""הון""]","[53, 331, 41]",יצא אל עצת,"[""יצא אל עצת"", ""יצא על פני"", ""ילך בעצת אנשים"", ""ילך בעצת אנשי"", ""יצא לפני אנשים""]",בגוד יחד יצא פני רבים לכת שרירות לוא ישוב אל עצת יחד עוד איש אנשי יחד אשר יתערב או אשר ⬚⬚⬚ ⬚⬚⬚ ⬚⬚⬚ רבים היה שלח עצת יחד שנים עשר איש כוהנים שלושה תמימים כול נגלה כול תורה עשות אמת צדקה משפט אהבת חסד הצנע,בגוד יחד יצא פני רבים לכת שרירות לוא ישוב אל עצת יחד עוד איש אנשי יחד אשר יתערב או אשר ⬚⬚⬚ ⬚⬚⬚ ⬚⬚⬚ רבים היה שלח עצת יחד שנים עשר איש כוהנים שלושה תמימים כול נגלה כול תורה עשות אמת צדקה משפט אהבת חסד הצנע,miss,None of the gap words appear in the top-5 lists.,0,0,"[{""slot_index"": 1, ""gold_word"": ""ערב"", ""gold_fit_frequency"": 53, ""top_candidates"": [""יצא"", ""ילך""], ""top1"": ""יצא"", ""hit_top1"": false, ""hit_top5"": false, ""likely_issue"": ""same_length_semantic"", ""reader_note"": ""Model prefers another plausible word of similar length.""}, {""slot_index"": 2, ""gold_word"": ""עם"", ""gold_fit_frequency"": 331, ""top_candidates"": [""אל"", ""על"", ""בעצת"", ""לפני""], ""top1"": ""אל"", ""hit_top1"": false, ""hit_top5"": false, ""likely_issue"": ""same_length_semantic"", ""reader_note"": ""Model prefers another plausible word of similar length.""}, {""slot_index"": 3, ""gold_word"": ""הון"", ""gold_fit_frequency"": 41, ""top_candidates"": [""עצת"", ""פני"", ""אנשים"", ""אנשי""], ""top1"": ""עצת"", ""hit_top1"": false, ""hit_top5"": false, ""likely_issue"": ""same_length_semantic"", ""reader_note"": ""Model prefers another plausible word of similar length.""}]"
7,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QS,2,2,לב למד,"[""לב"", ""למד""]","[59, 1]",לב דעת,"[""לב דעת"", ""לב עם"", ""לב כל"", ""דעת דעת"", ""לב מדע""]",עצת תושיה אספתר דעת ערמת דעת אשוך גבול סמוך שמור אמנים משפט עוז צדקת אל אחלקה חוק קו עתים צדק אהבת חסד ניכנעים חזוק ידים נמהרי ⬚⬚⬚ ⬚⬚⬚ תועי רוח בינה השכיל רוכנים לקח השיב ענוה נגד רמי רוח רוח נשברה אנשי מטה שולחי אצבע מדברי און מקני הון כיא אני אל,עצת תושיה אספתר דעת ערמת דעת אשוך גבול סמוך שמור אמנים משפט עוז צדקת אל אחלקה חוק קו עתים צדק אהבת חסד ניכנעים חזוק ידים נמהרי ⬚⬚⬚ ⬚⬚⬚ תועי רוח בינה השכיל רוכנים לקח השיב ענוה נגד רמי רוח רוח נשברה אנשי מטה שולחי אצבע מדברי און מקני הון כיא אני אל,miss,1/2 gap words appear in the top-5 lists.,1,1,"[{""slot_index"": 1, ""gold_word"": ""לב"", ""gold_fit_frequency"": 59, ""top_candidates"": [""לב"", ""דעת""], ""top1"": ""לב"", ""hit_top1"": true, ""hit_top5"": true, ""likely_issue"": ""exact_top1_hit"", ""reader_note"": ""The model's first guess is exactly correct for this slot.""}, {""slot_index"": 2, ""gold_word"": ""למד"", ""gold_fit_frequency"": 1, ""top_candidates"": [""דעת"", ""עם"", ""כל"", ""מדע""], ""top1"": ""דעת"", ""hit_top1"": false, ""hit_top5"": false, ""likely_issue"": ""rare_or_unseen"", ""reader_note"": ""Gold word is very rare or unseen in the fit data.""}]"
8,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QpHab,6,6+,תשמע אזעק חמס לוא תושיע על,"[""תשמע"", ""אזעק"", ""חמס"", ""לוא"", ""תושיע"", ""על""]","[12, 0, 10, 578, 0, 1174]",שמעת כי אתה יהוה אלהי אתה,"[""שמעת כי אתה יהוה אלהי אתה"", ""שמעת כי אתה יהוה לבדך אתה"", ""שמעת כי אתה יהוה אלהי ישראל"", ""שמעת כי אתה יהוה אלהי מה"", ""שמעת כי אתה יהוה אלהי ישעי""]",משא אשר חזה חבקוק נביא עד יהוה שועתי לוא ⬚⬚⬚ ⬚⬚⬚ ⬚⬚⬚ ⬚⬚⬚ ⬚⬚⬚ ⬚⬚⬚ תוחלת דור אחרון כול באות אזעק חמס לוא תושיע אשר יזעקו על חמס למה און עמל תביט על אשר הביט אל עשק מעל,משא אשר חזה חבקוק נביא עד יהוה שועתי לוא ⬚⬚⬚ ⬚⬚⬚ ⬚⬚⬚ ⬚⬚⬚ ⬚⬚⬚ ⬚⬚⬚ תוחלת דור אחרון כול באות אזעק חמס לוא תושיע אשר יזעקו על חמס למה און עמל תביט על אשר הביט אל עשק מעל,miss,None of the gap words appear in the top-5 lists.,0,0,"[{""slot_index"": 1, ""gold_word"": ""תשמע"", ""gold_fit_frequency"": 12, ""top_candidates"": [""שמעת""], ""top1"": ""שמעת"", ""hit_top1"": false, ""hit_top5"": false, ""likely_issue"": ""same_length_semantic"", ""reader_note"": ""Model prefers another plausible word of similar length.""}, {""slot_index"": 2, ""gold_word"": ""אזעק"", ""gold_fit_frequency"": 0, ""top_candidates"": [""כי""], ""top1"": ""כי"", ""hit_top1"": false, ""hit_top5"": false, ""likely_issue"": ""particle_or_too_short"", ""reader_note"": ""Top guess is much shorter than the gold word.""}, {""slot_index"": 3, ""gold_word"": ""חמס"", ""gold_fit_frequency"": 10, ""top_candidates"": [""אתה""], ""top1"": ""אתה"", ""hit_top1"": false, ""hit_top5"": false, ""likely_issue"": ""same_length_semantic"", ""reader_note"": ""Model prefers another plausible word of similar length.""}, {""slot_index"": 4, ""gold_word"": ""לוא"", ""gold_fit_frequency"": 578, ""top_candidates"": [""יהוה""], ""top1"": ""יהוה"", ""hit_top1"": false, ""hit_top5"": false, ""likely_issue"": ""other_miss"", ""reader_note"": ""Miss without a simple short/rare/same-length explanation.""}, {""slot_index"": 5, ""gold_word"": ""תושיע"", ""gold_fit_frequency"": 0, ""top_candidates"": [""אלהי"", ""לבדך""], ""top1"": ""אלהי"", ""hit_top1"": false, ""hit_top5"": false, ""likely_issue"": ""rare_or_unseen"", ""reader_note"": ""Gold word is very rare or unseen in the fit data.""}, {""slot_index"": 6, ""gold_word"": ""על"", ""gold_fit_frequency"": 1174, ""top_candidates"": [""אתה"", ""ישראל"", ""מה"", ""ישעי""], ""top1"": ""אתה"", ""hit_top1"": false, ""hit_top5"": false, ""likely_issue"": ""same_length_semantic"", ""reader_note"": ""Model prefers another plausible word of similar length.""}]"
9,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QpHab,2,2,אחרון כול,"[""אחרון"", ""כול""]","[3, 1096]",ודור צרות,"[""ודור צרות"", ""דור צרות"", ""ודור ישועה"", ""ודור שנים"", ""ודור בצרות""]",משא אשר חזה חבקוק נביא עד יהוה שועתי לוא תשמע אזעק חמס לוא תושיע על תוחלת דור ⬚⬚⬚ ⬚⬚⬚ באות אזעק חמס לוא תושיע אשר יזעקו על חמס למה און עמל תביט על אשר הביט אל עשק מעל שוד חמס,משא אשר חזה חבקוק נביא עד יהוה שועתי לוא תשמע אזעק חמס לוא תושיע על תוחלת דור ⬚⬚⬚ ⬚⬚⬚ באות אזעק חמס לוא תושיע אשר יזעקו על חמס למה און עמל תביט על אשר הביט אל עשק מעל שוד חמס,miss,None of the gap words appear in the top-5 lists.,0,0,"[{""slot_index"": 1, ""gold_word"": ""אחרון"", ""gold_fit_frequency"": 3, ""top_candidates"": [""ודור"", ""דור""], ""top1"": ""ודור"", ""hit_top1"": false, ""hit_top5"": false, ""likely_issue"": ""other_miss"", ""reader_note"": ""Miss without a simple short/rare/same-length explanation.""}, {""slot_index"": 2, ""gold_word"": ""כול"", ""gold_fit_frequency"": 1096, ""top_candidates"": [""צרות"", ""ישועה"", ""שנים"", ""בצרות""], ""top1"": ""צרות"", ""hit_top1"": false, ""hit_top5"": false, ""likely_issue"": ""other_miss"", ""reader_note"": ""Miss without a simple short/rare/same-length explanation.""}]"
10,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QpHab,5,4-5,אזעק חמס לוא תושיע אשר,"[""אזעק"", ""חמס"", ""לוא"", ""תושיע"", ""אשר""]","[0, 10, 578, 0, 1396]",על שבר בת עמי לוא,"[""על שבר בת עמי לוא"", ""חזון עד יהוה שועתי לוא"", ""על שבר בת ציון לוא"", ""על שבר בת עמי לי"", ""חזון עד יהוה יצעקו לוא""]",משא אשר חזה חבקוק נביא עד יהוה שועתי לוא תשמע אזעק חמס לוא תושיע על תוחלת דור אחרון כול באות ⬚⬚⬚ ⬚⬚⬚ ⬚⬚⬚ ⬚⬚⬚ ⬚⬚⬚ יזעקו על חמס למה און עמל תביט על אשר הביט אל עשק מעל שוד חמס יגזולו הון יהי ריב מדון ישא פשר,משא אשר חזה חבקוק נביא עד יהוה שועתי לוא תשמע אזעק חמס לוא תושיע על תוחלת דור אחרון כול באות ⬚⬚⬚ ⬚⬚⬚ ⬚⬚⬚ ⬚⬚⬚ ⬚⬚⬚ יזעקו על חמס למה און עמל תביט על אשר הביט אל עשק מעל שוד חמס יגזולו הון יהי ריב מדון ישא פשר,miss,None of the gap words appear in the top-5 lists.,0,0,"[{""slot_index"": 1, ""gold_word"": ""אזעק"", ""gold_fit_frequency"": 0, ""top_candidates"": [""על"", ""חזון""], ""top1"": ""על"", ""hit_top1"": false, ""hit_top5"": false, ""likely_issue"": ""particle_or_too_short"", ""reader_note"": ""Top guess is much shorter than the gold word.""}, {""slot_index"": 2, ""gold_word"": ""חמס"", ""gold_fit_frequency"": 10, ""top_candidates"": [""שבר"", ""עד""], ""top1"": ""שבר"", ""hit_top1"": false, ""hit_top5"": false, ""likely_issue"": ""same_length_semantic"", ""reader_note"": ""Model prefers another plausible word of similar length.""}, {""slot_index"": 3, ""gold_word"": ""לוא"", ""gold_fit_frequency"": 578, ""top_candidates"": [""בת"", ""יהוה""], ""top1"": ""בת"", ""hit_top1"": false, ""hit_top5"": false, ""likely_issue"": ""other_miss"", ""reader_note"": ""Miss without a simple short/rare/same-length explanation.""}, {""slot_index"": 4, ""gold_word"": ""תושיע"", ""gold_fit_frequency"": 0, ""top_candidates"": [""עמי"", ""שועתי"", ""ציון"", ""יצעקו""], ""top1"": ""עמי"", ""hit_top1"": false, ""hit_top5"": false, ""likely_issue"": ""particle_or_too_short"", ""reader_note"": ""Top guess is much shorter than the gold word.""}, {""slot_index"": 5, ""gold_word"": ""אשר"", ""gold_fit_frequency"": 1396, ""top_candidates"": [""לוא"", ""לי""], ""top1"": ""לוא"", ""hit_top1"": false, ""hit_top5"": false, ""likely_issue"": ""same_length_semantic"", ""reader_note"": ""Model prefers another plausible word of similar length.""}]"
