row_id,model,split,book_filter,scroll,target_word,target_fit_frequency,target_position,context_for_reading,raw_context,model_top1,model_top2,model_top3,model_top4,model_top5,all_top5,case_status,likely_issue,reader_note
1,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QS,ספר,32,3,לשים ל ⬚⬚⬚ סרך היחד לדרוש אל בכול לב ו בכול נפש לעשות הטוב ו ה,ל שים ל ⬚⬚⬚ סרך ה יחד ל דרוש אל ב כול לב ו ב כול נפש ל עשות ה טוב ו ה,כול,אל,כל,לב,את,כול | אל | כל | לב | את,miss,same_length_semantic,Model prefers another plausible word of similar length.
2,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QS,כול,1096,11,לשים לספר סרך היחד לדרוש אל ב ⬚⬚⬚ לב ו בכול נפש לעשות הטוב ו הישר ל כאשר צוה ב יד מושה,ל שים ל ספר סרך ה יחד ל דרוש אל ב ⬚⬚⬚ לב ו ב כול נפש ל עשות ה טוב ו ה ישר ל כ אשר צוה ב יד מושה,כול,כל,אל,לב,איש,כול | כל | אל | לב | איש,hit,exact_top1_hit,The model's first guess is exactly correct.
3,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QS,לב,59,12,לשים לספר סרך היחד לדרוש אל בכול ⬚⬚⬚ ו בכול נפש לעשות הטוב ו הישר ל כאשר צוה ב יד מושה ו,ל שים ל ספר סרך ה יחד ל דרוש אל ב כול ⬚⬚⬚ ו ב כול נפש ל עשות ה טוב ו ה ישר ל כ אשר צוה ב יד מושה ו,איש,נפש,לב,רוח,אדם,איש | נפש | לב | רוח | אדם,hit,exact_top5_hit,The gold word appears in the model's top-5 list.
4,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QS,כול,1096,15,לשים לספר סרך היחד לדרוש אל בכול לב ו ב ⬚⬚⬚ נפש לעשות הטוב ו הישר ל כאשר צוה ב יד מושה ו ב יד כול,ל שים ל ספר סרך ה יחד ל דרוש אל ב כול לב ו ב ⬚⬚⬚ נפש ל עשות ה טוב ו ה ישר ל כ אשר צוה ב יד מושה ו ב יד כול,כול,כל,דעת,לכל,לב,כול | כל | דעת | לכל | לב,hit,exact_top1_hit,The model's first guess is exactly correct.
5,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QS,נפש,46,16,לשים לספר סרך היחד לדרוש אל בכול לב ו בכול ⬚⬚⬚ לעשות הטוב ו הישר ל כאשר צוה ב יד מושה ו ב יד כול,ל שים ל ספר סרך ה יחד ל דרוש אל ב כול לב ו ב כול ⬚⬚⬚ ל עשות ה טוב ו ה ישר ל כ אשר צוה ב יד מושה ו ב יד כול,כול,לב,איש,אשר,כל,כול | לב | איש | אשר | כל,miss,same_length_semantic,Model prefers another plausible word of similar length.
6,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QS,קרי,4,16,העוברים בברית מודים לאמור נעוינו פשענו חטאנו הרשענו אנו ו מ ל ב ⬚⬚⬚ בחוקי אמת וצדיק אל אשר עשה ו ב ורחמי גמל מ,ה עוברים ב ברית מודים ל אמור נעוינו פשענו חטאנו הרשענו אנו ו מ ל ב ⬚⬚⬚ ב חוקי אמת ו צדיק אל אשר עשה ו ב ו רחמי גמל מ,אל,כול,אמת,כל,על,אל | כול | אמת | כל | על,miss,same_length_semantic,Model prefers another plausible word of similar length.
7,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QS,חוקי,14,16,בברית מודים לאמור נעוינו פשענו חטאנו הרשענו אנו ו מ ל בקרי ב ⬚⬚⬚ אמת וצדיק אל אשר עשה ו ב ורחמי גמל מעולם ו,ב ברית מודים ל אמור נעוינו פשענו חטאנו הרשענו אנו ו מ ל ב קרי ב ⬚⬚⬚ אמת ו צדיק אל אשר עשה ו ב ו רחמי גמל מ עולם ו,אל,תורת,משפטי,אשר,דברי,אל | תורת | משפטי | אשר | דברי,miss,particle_or_too_short,Top guess is much shorter than the gold word.
8,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QS,אל,1175,17,לאמור נעוינו פשענו חטאנו הרשענו אנו ו מ ל בקרי בחוקי אמת וצדיק ⬚⬚⬚ אשר עשה ו ב ורחמי גמל מעולם ו עד עולם ו,ל אמור נעוינו פשענו חטאנו הרשענו אנו ו מ ל ב קרי ב חוקי אמת ו צדיק ⬚⬚⬚ אשר עשה ו ב ו רחמי גמל מ עולם ו עד עולם ו,כול,כל,יי,יהוה,את,כול | כל | יי | יהוה | את,miss,same_length_semantic,Model prefers another plausible word of similar length.
9,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QS,אשר,1396,17,אמור נעוינו פשענו חטאנו הרשענו אנו ו מ ל בקרי בחוקי אמת וצדיק אל ⬚⬚⬚ עשה ו ב ורחמי גמל מעולם ו עד עולם ו ה,אמור נעוינו פשענו חטאנו הרשענו אנו ו מ ל ב קרי ב חוקי אמת ו צדיק אל ⬚⬚⬚ עשה ו ב ו רחמי גמל מ עולם ו עד עולם ו ה,וישר,אמת,משפט,אשר,תמים,וישר | אמת | משפט | אשר | תמים,hit,exact_top5_hit,The gold word appears in the model's top-5 list.
10,ft_msbert_span_refined,heldout-scrolls,excluding-conservative-aramaic-books,1QS,עשה,68,17,נעוינו פשענו חטאנו הרשענו אנו ו מ ל בקרי בחוקי אמת וצדיק אל אשר ⬚⬚⬚ ו ב ורחמי גמל מעולם ו עד עולם ו הכוהנים,נעוינו פשענו חטאנו הרשענו אנו ו מ ל ב קרי ב חוקי אמת ו צדיק אל אשר ⬚⬚⬚ ו ב ו רחמי גמל מ עולם ו עד עולם ו ה כוהנים,כול,צדיק,עשה,לא,ישר,כול | צדיק | עשה | לא | ישר,hit,exact_top5_hit,The gold word appears in the model's top-5 list.
