target_word,context_for_reading,model_top1,model_top2,model_top3,model_top4,model_top5,all_top5,likely_issue,reader_note,target_fit_frequency,raw_context,raw_category
ספר,לשים ל ⬚⬚⬚ סרך היחד לדרוש,כול,אל,כל,לב,את,כול | אל | כל | לב | את,Plausible but wrong content-word choice,"The model stays in the right semantic area, but chooses the wrong word instead of 'ספר'.",32,ל שים ל ⬚⬚⬚ סרך ה יחד ל דרוש,same_length_semantic
נפש,כול לב ו בכול ⬚⬚⬚ לעשות הטוב ו,כול,לב,איש,אשר,כל,כול | לב | איש | אשר | כל,Plausible but wrong content-word choice,"The model stays in the right semantic area, but chooses the wrong word instead of 'נפש'.",46,כול לב ו ב כול ⬚⬚⬚ ל עשות ה טוב ו,same_length_semantic
קרי,אנו ו מ ל ב ⬚⬚⬚ בחוקי אמת וצדיק,אל,כול,אמת,כל,על,אל | כול | אמת | כל | על,Plausible but wrong content-word choice,"The model stays in the right semantic area, but chooses the wrong word instead of 'קרי'.",4,אנו ו מ ל ב ⬚⬚⬚ ב חוקי אמת ו צדיק,same_length_semantic
חוקי,מ ל בקרי ב ⬚⬚⬚ אמת וצדיק אל אשר,אל,תורת,משפטי,אשר,דברי,אל | תורת | משפטי | אשר | דברי,Split-clitic noise / short-word bias,The model chose a much shorter word ('אל') instead of the target 'חוקי'.,14,מ ל ב קרי ב ⬚⬚⬚ אמת ו צדיק אל אשר,particle_or_too_short
אל,בחוקי אמת וצדיק ⬚⬚⬚ אשר עשה ו ב ו,כול,כל,יי,יהוה,את,כול | כל | יי | יהוה | את,Plausible but wrong content-word choice,"The model stays in the right semantic area, but chooses the wrong word instead of 'אל'.",1175,ב חוקי אמת ו צדיק ⬚⬚⬚ אשר עשה ו ב ו,same_length_semantic
ברית,המואס לבוא ב ⬚⬚⬚ אל ללכת בשרירות,רוח,דעת,אל,רצון,תורת,רוח | דעת | אל | רצון | תורת,Plausible but wrong content-word choice,"The model stays in the right semantic area, but chooses the wrong word instead of 'ברית'.",76,ה מואס ל בוא ב ⬚⬚⬚ אל ל לכת ב שרירות,same_length_semantic
יעבור,ללכת בשרירות לוא ⬚⬚⬚ ביחד כיא געלה ב,בא,שלם,תשב,נכון,רע,בא | שלם | תשב | נכון | רע,Split-clitic noise / short-word bias,The model chose a much shorter word ('בא') instead of the target 'יעבור'.,6,ל לכת ב שרירות לוא ⬚⬚⬚ ב יחד כיא געלה ב,particle_or_too_short
רע,איש לדעת טוב ו ⬚⬚⬚ להפיל גורלות לכול,כול,כל,אל,איש,אשר,כול | כל | אל | איש | אשר,Plausible but wrong content-word choice,"The model stays in the right semantic area, but chooses the wrong word instead of 'רע'.",43,איש ל דעת טוב ו ⬚⬚⬚ ל הפיל גורלות ל כול,same_length_semantic
מועד,חי ל פי ביום ⬚⬚⬚ הפקודה ו זה ה,יום,כול,אל,על,ים,יום | כול | אל | על | ים,Needs manual inspection,The model misses 'מועד' for a reason not captured by the simple heuristics.,50,חי ל פי ב יום ⬚⬚⬚ ה פקודה ו זה ה,other
קשה,בתלונה או בעורפ ⬚⬚⬚ או בקנאת רוח רשע,רוח,ריב,איש,לב,אל,רוח | ריב | איש | לב | אל,Plausible but wrong content-word choice,"The model stays in the right semantic area, but chooses the wrong word instead of 'קשה'.",6,ב תלונה או ב עורפ ⬚⬚⬚ או ב קנאת רוח רשע,same_length_semantic
